1999-M-FU-ARG-01A-1999,Argentina F1,Clay,32,S,19990419,031,102665,8,,102554,2,,6-2 6-3,3,F,Damian Furmanski,R,,ARG,23.537303217,Diego Moyano,R,175,ARG,24.0985626283,396,76,289,129,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,001,102930,,,102769,1,,6-2 6-3,3,R32,Rodrigo Cerdera,R,,ARG,22.2203969884,Andres Schneiter,R,,ARG,23.0472279261,673,21,228,185,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,002,103900,,WC,102807,,,6-3 7-5,3,R32,David Nalbandian,R,180,ARG,17.3141683778,Rodrigo Monte,R,,BRA,22.8637919233,1288,1,631,25,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,003,104076,,Q,103246,,,6-3 6-2,3,R32,Jose Acasuso,R,190,ARG,16.514715948,Otavio Rovati,R,,BRA,20.7255304586,,,896,9,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,004,103549,,Q,103373,7,,6-1 6-4,3,R32,Dario Perez,R,,ARG,19.0198494182,Sergio Roitman,R,185,ARG,19.9452429843,1288,1,360,91,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,005,102243,3,WC,103478,,,6-1 7-5,3,R32,Marcelo Charpentier,L,180,ARG,25.7905544148,Diego Veronelli,R,193,ARG,19.3894592745,311,112,414,72,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,006,102665,,,103506,,,6-4 7-5,3,R32,Damian Furmanski,R,,ARG,23.5564681725,Martin Vassallo Arguello,R,183,ARG,19.2060232717,396,76,655,23,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,007,103909,,WC,103605,,Q,6-4 6-4,3,R32,Guillermo Coria,R,175,ARG,17.2813141684,Alejandro Asta,R,,ARG,18.7323750856,851,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,008,102620,,,101976,5,,6-4 7-6,3,R32,Frederic Petitjean,R,,FRA,23.7864476386,Federico Dondo,R,,URU,27.5208761123,693,19,351,94,,,,,,,,,,,,,,,,,,,,,,,,,
1999-M-FU-ARG-02A-1999,Argentina F2,Clay,32,S,19990426,009,101720,6,,103737,,,6-1 RET,3,R32,Agustin Garizzio,R,185,ARG,29.1033538672,Edgardo Massa,R,180,ARG,18.0944558522,352,94,742,16,,,,,,,,,,,,,,,,,,,,,,,,,
