tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-5047,Bangkok CH,Hard,32,C,20160104,268,105359,2,,Jason Jung,U,,USA,26.5544147844,256,204,106421,,,Daniil Medvedev,U,,RUS,19.8959616701,329,144,6-4 6-3,3,Q3,69,2,6,51,27,21,11,9,1,3,13,6,60,30,21,10,10,3,8,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,267,122078,3,,Dmitry Popko,R,,KAZ,19.1950718686,257,204,104864,,,Alex Kuznetsov,R,183,USA,28.9117043121,350,130,6-4 7-5,3,Q3,93,5,2,64,36,27,17,11,0,1,7,2,66,43,30,11,11,2,5,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,266,105814,,,Maximilian Neuchrist,R,,AUT,24.4544832307,390,112,105507,,,Cheong Eui Kim,U,,KOR,25.7850787132,379,115,6-7(3) 6-3 6-4,3,Q3,134,15,4,104,70,56,16,16,7,8,5,1,99,69,45,20,15,6,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,265,125802,,,Ilya Ivashka,U,,BLR,21.8590006845,355,129,106290,,,Filip Peliwo,R,,CAN,21.9274469541,388,112,6-4 6-4,3,Q2,86,2,4,52,34,24,13,10,0,1,3,8,84,42,31,16,10,14,17,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,264,111192,,,Lucas Miedler,R,,AUT,19.537303217,374,117,105270,5,,Maxime Teixeira,R,,FRA,26.9596167009,290,172,6-1 6-3,3,Q2,61,3,1,53,26,22,14,8,2,2,6,7,40,17,13,7,8,1,5,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,263,105359,2,,Jason Jung,U,,USA,26.5544147844,256,204,105299,,,Dzmitry Zhyrmont,U,,BLR,26.8446269678,312,158,7-5 7-5,3,Q2,91,9,2,72,46,35,18,12,0,0,5,4,69,43,31,16,12,5,7,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,262,106421,,,Daniil Medvedev,U,,RUS,19.8959616701,329,144,106377,,,Robin Stanek,L,,CZE,21.0020533881,317,156,6-4 6-3,3,Q2,81,9,0,65,43,35,5,10,1,3,2,3,62,36,20,13,9,5,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,261,122078,3,,Dmitry Popko,R,,KAZ,19.1950718686,257,204,105254,,,Nikola Mektic,U,,CRO,27.0280629706,349,131,4-6 6-4 7-5,3,Q2,133,5,3,95,47,34,29,16,3,5,14,4,92,50,37,22,16,3,6,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,260,104864,,,Alex Kuznetsov,R,183,USA,28.9117043121,350,130,106072,,,Alexey Vatutin,U,,RUS,23.1868583162,308,160,6-1 6-4,3,Q2,67,8,1,44,32,24,7,8,1,2,0,7,64,37,19,13,9,7,12,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,259,105507,,,Cheong Eui Kim,U,,KOR,25.7850787132,379,115,105422,,,Joshua Milton,R,,GBR,26.2231348392,356,129,6-2 7-5,3,Q2,71,2,2,54,35,26,11,10,0,1,1,4,64,24,15,17,10,1,5,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,258,105814,,,Maximilian Neuchrist,R,,AUT,24.4544832307,390,112,105059,,,Kento Takeuchi,U,,JPN,28.0438056126,412,106,6-7(5) 7-6(3) 6-3,3,Q2,147,14,5,112,70,60,20,17,3,4,6,1,105,73,51,21,16,2,4,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,257,125802,,,Ilya Ivashka,U,,BLR,21.8590006845,355,129,105841,1,,Lorenzo Giustino,U,,ITA,24.3175906913,252,206,6-0 4-6 6-2,3,Q1,32,4,5,69,41,35,15,12,1,2,5,6,98,51,32,20,12,11,16,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,256,106290,,,Filip Peliwo,R,,CAN,21.9274469541,388,112,106223,,,Aleksandre Metreveli,R,,GEO,22.4010951403,313,158,6-1 6-4,3,Q1,61,5,1,64,40,28,11,9,2,4,1,1,60,34,16,12,8,4,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,255,111192,,,Lucas Miedler,R,,AUT,19.537303217,374,117,133667,,WC,Congsup Congcar,U,,THA,19.370294319,1526,3,6-0 6-0,3,Q1,,4,1,35,24,20,6,6,3,3,0,4,47,22,13,3,6,3,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,254,105270,5,,Maxime Teixeira,R,,FRA,26.9596167009,290,172,106136,,WC,Warit Sornbutnark,U,,THA,22.8501026694,1234,6,6-2 6-4,3,Q1,90,16,5,58,37,29,10,9,2,3,1,1,52,24,16,12,9,2,6,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,253,105359,2,,Jason Jung,U,,USA,26.5544147844,256,204,105810,,,Shuichi Sekiguchi,U,,JPN,24.4736481862,396,110,7-6(6) 6-1,3,Q1,65,5,2,63,33,29,20,10,5,5,7,0,60,40,30,9,9,3,5,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,252,105299,,,Dzmitry Zhyrmont,U,,BLR,26.8446269678,312,158,106397,,WC,Wishaya Trongcharoenchaikul,R,,THA,20.7419575633,1423,4,6-4 6-3,3,Q1,37,2,0,46,29,26,11,9,2,2,3,3,61,37,25,13,10,4,7,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,251,106377,,,Robin Stanek,L,,CZE,21.0020533881,317,156,122519,,WC,Punn Bodhidatta,R,,THA,22.5872689938,2220,1,6-4 6-3,3,Q1,57,2,9,71,41,30,12,9,10,12,1,6,61,36,21,10,10,4,9,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,250,106421,,,Daniil Medvedev,U,,RUS,19.8959616701,329,144,106281,7,,Liam Broady,L,,GBR,21.9986310746,301,166,6-2 6-3,3,Q1,62,3,2,45,26,22,10,9,3,5,2,4,49,29,15,6,8,3,8,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,249,122078,3,,Dmitry Popko,R,,KAZ,19.1950718686,257,204,105626,,,Takanyi Garanganga,U,,ZIM,25.3278576318,402,107,6-3 7-5,3,Q1,47,5,4,78,43,28,19,11,8,10,3,12,71,34,24,15,10,2,6,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,248,105254,,,Nikola Mektic,U,,CRO,27.0280629706,349,131,111183,,WC,Chayanon Kaewsuto,U,,THA,20.553045859,1694,2,6-3 6-1,3,Q1,85,10,2,46,27,24,10,8,2,3,3,6,56,32,20,6,8,5,10,,,,,,,,,,,,,,,,,,,,
