tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,007,105476,,,Alexandre Folie,R,,BEL,26.9404517454,1119,8,108780,,Q,Lofo Ramiaramanana,L,,MAD,27.5728952772,,,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,008,105163,6,,Gleb Sakharov,R,,FRA,28.5831622177,325,148,105178,,,Alexis Musialek,U,,FRA,28.5174537988,570,57,6-4 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,009,125796,,,Remi Boutillier,U,,FRA,26.984257358,414,102,123920,8,,Gregoire Jacq,U,,FRA,24.167008898,367,124,7-6(7) 7-5,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,010,145001,,,Evan Furness,R,,FRA,18.4093086927,992,12,200606,,Q,Rayane Oumaouche,U,,FRA,19.5509924709,1945,1,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,011,105415,,,Maxime Tabatruong,R,,FRA,27.2936344969,749,28,131910,,WC,Lucas Bouquet,R,,FRA,19.4305270363,1468,3,6-4 6-3,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,012,105836,,WC,Jules Marie,R,,FRA,25.3579739904,,,105679,3,,Eduardo Struvay,R,,COL,26.0643394935,275,183,6-4 3-0 RET,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,013,111506,5,WC,Maxime Hamou,R,,FRA,21.5906913073,317,153,105844,,,Joffrey De Schepper,U,,FRA,25.3169062286,1029,11,7-5 7-6(4),3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,014,106008,,,Florian Fallert,R,,GER,24.6269678303,870,18,131905,,,Manuel Guinard,U,,FRA,21.1526351814,1002,12,6-4 6-2,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,015,200005,,,Ugo Humbert,L,,FRA,18.5407255305,994,12,200006,,Q,Hugo Pontico,U,,FRA,19.2251882272,2051,1,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,016,126125,2,,Maxime Janvier,U,,FRA,20.2272416153,262,193,207199,,Q,Paul Soubies,U,,FRA,18.1437371663,,,6-3 6-1,3,R32,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,017,106005,1,,Constant Lestienne,R,,FRA,24.6324435318,167,352,144656,,,Corentin Denolly,L,,FRA,19.5947980835,479,82,6-2 6-4,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,018,104579,,,Romain Jouan,R,183,FRA,31.485284052,419,99,105714,7,,Hugo Nys,R,,FRA,25.8973305955,353,131,6-1 4-6 7-5,3,R16,,,,,,,,,,,,,,,,,,,,,
2017-M-FU-FRA-01A-2017,France F1,Clay,32,S,20170109,019,106072,4,Q,Alexey Vatutin,U,,RUS,24.2026009582,293,167,131904,,WC,Louis Chaix,U,,FRA,21.659137577,1258,5,6-0 7-6(5),3,R16,,,,,,,,,,,,,,,,,,,,,
